id,title,price(USD),building_area(m²),land_area(m²),bedrooms,location
df03d95d0b_0.webp,Developers Dream,190000,180,1352,3,Belvedere
41c6aa94bc_0.webp,2 Bedroom Flat In Prime Avondale Location,95000,0,8000,2,Avondale
483115d1c1_0.webp,"Charming 3-Bedroom Family Home in Mabvazuva, Ruwa for Sale",105000,410,442,3,
ac7160491a_0.webp,The Strand office land in Borrowdale.,875000,0,8000,,Borrowdale
1d7f22fc05_0.webp,Stands for Sale,60000,442,442,,Harare
9255ebae71_0.webp,Finish It To Your Taste....,180000,1000,1736,6,Harare
a51e6bcc53_0.webp,Westgate- $270000,270000,980,980,5,Harare
0ddbb23ac8_0.webp,Ready to Build Stand with an Incomplete Cottage,90000,0,2012,2,Harare
0aa8829830_0.webp,Ideal for investment.,225000,180,4000,3,Marlborough
8b160495da_0.webp,4 Bedroomed house For Sale In Greendale,330000,3711,3711,4,Greendale
4ea4ffbb30_0.webp,Peaceful Oasis For Sale,880000,3220,790000,4,Harare
35ade3b1af_0.webp,Waterfalls Zindoga Commercial Property For Sale,300000,240,500,,Waterfalls
7f0c8caec8_0.webp,Arcturus 7.9 hectare plot for sale,450000,79000,790000,,Harare
43ae0f61bc_0.webp,Flat For Sale,70000,50,50,2,Harare
304aaa726d_0.webp,Avondale Office Space for sale,1300000,1,4409,3,Avondale
124e505f35_0.webp,Prime Location in the heart of Colne Valley,660000,4277,4277,6,Harare
43f71e2670_0.webp,Lets go farming,600000,7,10417,2,Harare
2dddad92e3_0.webp,Investment opportunity,35000,180,240,4,Harare
8c8d84eb11_0.webp,Dont Miss Out On This Fantastic Opportunity,265000,500,4600,4,Hatfield
53483b5f28_0.webp,Dream Home In Stunning Location,295000,208,400,,Mount Pleasant
09db9d2503_0.webp,Stunning 7 Bed Mansion In Serene Environment,1800000,2100,9013,7,Harare
2aedd7c453_0.webp,Mlibizi Holiday Retreat,85000,0,300,9,
4f7a88cebd_0.webp,Well Positioned Eastlea Property,320000,140,1300,3,Harare
4e8053f948_0.webp,Avondale West $340000,340000,300,1200,3,Avondale
1b3004673b_0.webp,Impeccably finished 4 bed duplex flats in a complex,200000,225,44225,4,Avondale
907a55d094_0.webp,"Prime 52,000 m² Stand in Sandton Park, Harare West for Sale",3500000,0,52000,,Harare
6923aa930b_0.webp,Quick Sale ..,50000,0,1000,,Harare
0c9df2ca34_0.webp,A family home for sale in Masasa Park,78000,450,480,3,Msasa
5cbeb72cb6_0.webp,Luxurious homes,260000,157,500,3,Borrowdale
2f9804da59_0.webp,Negotiations makes it yours,100000,200,450,3,Harare
e669c47b57_0.webp,Versatile Property with Visibility from Seke Road,160000,150,2000,3,Hatfield
c49cb230db_0.webp,Marlborough Land Your Investment Opportunity for Sale,650000,0,6738,,Harare
88bcedcbda_0.webp,Nyanga Holiday Home For Sale,800000,53000,53000,3,
643f7519f4_0.webp,Spacious Family Home On Productive 6.41-Acre Plot,130000,300,25900,6,Bulawayo
f2f40093cd_0.webp,Premier Business Space In Strategic Position,690000,4045,4045,,Bulawayo
5e91f6e620_0.webp,Prime Hilltop Residential Stand,150000,3000,3000,,Harare
0a2175c999_0.webp,Chitungwiza Waterland Land For Sale,1500000,65000,65000,,Harare
b1bca0a235_0.webp,Agro-Residential Plots For Sale In Inyanga,200000,0,100000,,
0cd7dc494d_0.webp,"3BR Family House with Premium Amenities in Zengeza 5, Chitungwiza",38000,150,300,3,
7dc698daa6_0.webp,Residential Stands For Sale,15000,0,1000,,Harare
f250aa4db9_0.webp,Prime Investment Property in Old Alex Park,410000,250,2167,4,Alexandra Park
a36933e2be_0.webp,Kariba Lodge,1250000,4015,4015,,
f06228fc18_0.webp,"MODERN TOWNHOUSES, Great Investment",380000,240,500,3,Borrowdale
655d03e8a2_0.webp,Own Your Home In Chisipite,550000,250,4000,4,Harare
b064d4af55_0.webp,A Modern Borrowdale Brooke House For Sale,1950000,400,5063,5,Borrowdale
2d26e68033_0.webp,Exquisite 7-Bedroom Mansion with Borehole in Borrowdale Brooke,800000,500,1660,7,Borrowdale
bb9b3c1d0e_0.webp,"Stunning Duplex Property for Sale in Granite Park, Bulawayo",315000,400,4143,3,Hillside
68d0f7de4c_0.webp,Carrick Creagh mansion for sale,650000,700,3600,5,Harare
c6b717e8a8_0.webp,Banket Presents A Unique Investment Opportunity On 8.2 Ha²,600000,82,82000,,
7c7f481336_0.webp,Superb Opportunity in Falcon Estate,130000,450,450,4,Harare
c356fd7b5e_0.webp,Residential house for sale,850000,300,4200,5,Borrowdale
3943033b4f_0.webp,Arlington Estate House For Sale,425000,2012,2012,6,Harare
42d38134be_0.webp,One Hectare with Development Permit and Borehole,700000,0,10163,,Greystone Park
a1be1432dc_0.webp,4-Bedroom Home in Queensdale,190000,250,1884,4,Harare
1c0a3a88af_0.webp,Commercial land for sale in Greendale Msasa,600000,6000,6000,,Greendale
1fb7939aca_0.webp,"Test Listing, please ignore",100000,250,450,3,Harare
31f10f2ccf_0.webp,Borrowdale Stand Along Crowhill Road 7200sqm,290000,0,7200,,Borrowdale
87e96e037f_0.webp,House for house,35000,150,200,3,
c76f7983cf_0.webp,House For Sale,28000,40,300,,Kuwadzana
f99fc7830f_0.webp,Residential stand for sale,120000,0,2000,2,Belvedere
0552256194_0.webp,Absolute Bargain,60000,0,80940,,Harare
ee746d22b1_0.webp,Granary stands for sale,18000,0,325,,Harare
722d768c01_0.webp,Granitiside beautiful apartment for sale,60000,500,1000,3,Harare
76f82117ce_0.webp,Commercial Property for sale in Bulawayo CBD,1600000,800,1388,,Bulawayo
374d8682d5_0.webp,House For Sale,29000,500,4685,5,Harare
06bbd7e7f1_0.webp,Southlea Park House,29000,120,200,5,Harare
702882001a_0.webp,"Prime 7211sqm Stand in Crowhill  Road Frontage, Water Access  Gentle Slope",320000,0,7211,,Harare
ca10792fc2_0.webp,Eastlea Along Samora Machel Tranquil Home For Sale,690000,800,2336,4,Eastlea
8dd86bd361_0.webp,Superb Opportunity,300000,1800,1800,4,Harare
a38127b193_0.webp,Rydale ridge house for sale,65000,290,356,4,Harare
76567d81f5_0.webp,Subdivision Land with All Paperwork,160000,0,2469,,Harare
c69fb0f99f_0.webp,A premium investment opportunity A complex consists of 17 units.,110000,90,2000,3,Hillside
77086c287b_0.webp,Expansive Ruwa Rockview Retreat Ideal for Family Living or Investment,150000,1739,1739,6,Harare
55458271c5_0.webp,Spacious 2000m² Stand in Gletwin Park with Main Road Access,124000,0,2000,,Harare
38d5e43a3d_0.webp,A Gem In The Heart Of Chisipite,800000,200,4047,5,Harare
4b0ca61647_0.webp,Reduced to Go- located along Suffolk Road,220000,260,793,3,Avondale
51ba06edb4_0.webp,Finish To Taste Incomplete Property In Kutandara,105000,172,470,3,Harare
132c3ca3ab_0.webp,Neat 2-Bedroom Flat for Sale on Marlborough Drive.,95000,250,2000,2,Marlborough
c1e5ea7397_0.webp,PRICED TO GO Commercial Property For Sale In CBD,390000,250,892,,Harare
ebf6facdcf_0.webp,A property in a Prime Location,210000,1,2974,4,Bulawayo
14776cde14_0.webp,Neat Family House For Sale,120000,300,550,3,Waterfalls
17de9cf164_0.webp,"Hilside remodelled, prime area",240000,1,1,4,Hillside
e953c10c1e_0.webp,Discover Your Ideal Family Home in Gunhill,2501000,2501,2501,6,Harare
781b811c39_0.webp,A choice of Residential stands for sale in Mary Park Estate,66000,0,2200,,Bulawayo
ff237b7b5a_0.webp,Vainona GemCampbell Place Spacious 3-Beds Home in Harare,230000,200,500,3,Harare
2e3162e701_0.webp,Your Dream Home Awaits In Mabvazuva,85000,200,400,4,
d4a62f6d23_0.webp,Agri Residential Commercial Property For Sale,1250000,1,157828,4,Harare
102c804df8_0.webp,Famona Family Oasis With A Modern Cottage,155000,1,1859,3,Bulawayo
36b107820e_0.webp,Agri-Residential Plot along Gardiner Road,450000,20,79000,3,
d72ee4aeeb_0.webp,Modern Family Home In Greendale North,380000,1,2700,4,Greendale
185dce452d_0.webp,"Perfect Agricultural , Industrial or Development opportunity",850000,0,65000,6,
6e7b0d8b7f_0.webp,Stylish Family Home in Colne Valley,720000,700,4000,5,Harare
61e2be52e3_0.webp,Massive investment in a mature in the heart of sought-after industrial area,2500000,110000,110000,,Nkulumane
6058304e38_0.webp,Location is everything - nearly the entire block in the CBD for sale,2500000,4500,4500,,Bulawayo
cf7b57b760_0.webp,Shawasha Hills,370000,0,14000,,Harare
6796de9a20_0.webp,Arlington,17818,490,2800,4,Harare
